ID,Name,Overall Rating,No. of Ratings,Work Life Balance,Culture And Values,Senior Leadership,Compensation and Benefits,Career Opportunities,Sector,Industry Name,Website,Glassdoor
3280,IGATE,3.2,2276,3.1,3.1,2.7,2.8,3.0,Information Technology,IT Services,www.igate.com,https://www.glassdoor.com/Overview/Working-at-IGATE-EI_IE3280.htm
341690,Tesco Bengaluru,3.4,641,3.9,3.8,2.9,3.1,3.0,Information Technology,IT Services,www.tescobengaluru.com,https://www.glassdoor.com/Overview/Working-at-Tesco Bengaluru-EI_IE341690.htm
28187,Aricent,3.3,2199,3.3,3.3,2.8,2.9,3.2,Telecommunications,Telecommunications Services,www.aricent.com,https://www.glassdoor.com/Overview/Working-at-Aricent-EI_IE28187.htm
300494,Flipkart,3.8,717,3.7,3.7,3.1,4.0,3.7,Information Technology,Internet,www.flipkart.com,https://www.glassdoor.com/Overview/Working-at-Flipkart-EI_IE300494.htm
5406,NetApp,3.3,2569,3.9,3.7,2.9,3.8,3.0,Information Technology,Enterprise Software & Network Solutions,www.netapp.com,https://www.glassdoor.com/Overview/Working-at-NetApp-EI_IE5406.htm
28614,Symphony Teleca,3.0,853,3.4,3.0,2.6,2.8,2.9,Information Technology,IT Services,services.harman.com,https://www.glassdoor.com/Overview/Working-at-Symphony Teleca-EI_IE28614.htm
692,Unisys,3.0,1729,3.4,2.9,2.6,2.9,2.7,Information Technology,IT Services,www.unisys.com,https://www.glassdoor.com/Overview/Working-at-Unisys-EI_IE692.htm
19730,ITC Infotech,2.9,635,3.6,2.7,2.5,2.5,2.7,Information Technology,IT Services,www.itcinfotech.com,https://www.glassdoor.com/Overview/Working-at-ITC Infotech-EI_IE19730.htm
2786,Fidelity Investments,3.8,4619,3.8,4.0,3.4,3.9,3.5,Finance,Investment Banking & Asset Management,www.fidelity.com,https://www.glassdoor.com/Overview/Working-at-Fidelity Investments-EI_IE2786.htm
42613,Genpact,3.3,2607,3.4,3.3,2.9,2.6,3.3,Information Technology,IT Services,www.genpact.com,https://www.glassdoor.com/Overview/Working-at-Genpact-EI_IE42613.htm
10291,Misys,3.8,1010,3.9,3.9,3.5,3.6,3.7,Information Technology,Computer Hardware & Software,www.misys.com,https://www.glassdoor.com/Overview/Working-at-Misys-EI_IE10291.htm
8347,QuintilesIMS,3.3,2391,3.3,3.3,2.9,3.2,3.2,Health Care,Health Care Services & Hospitals,www.quintilesims.com,https://www.glassdoor.com/Overview/Working-at-QuintilesIMS-EI_IE8347.htm
194,Target,3.4,23523,3.2,3.5,2.9,3.2,3.1,Retail,"Department, Clothing, & Shoe Stores",www.target.com,https://www.glassdoor.com/Overview/Working-at-Target-EI_IE194.htm
12830,VMware,4.0,3068,4.0,4.1,3.5,4.2,3.7,Information Technology,Computer Hardware & Software,www.vmware.com,https://www.glassdoor.com/Overview/Working-at-VMware-EI_IE12830.htm
3353,Robert Bosch,3.8,1844,4.0,3.9,3.3,3.5,3.5,Information Technology,Computer Hardware & Software,www.bosch.de,https://www.glassdoor.com/Overview/Working-at-Robert Bosch-EI_IE3353.htm
3956,Schneider Electric,3.5,2848,3.7,3.6,3.0,3.4,3.3,"Oil, Gas, Energy & Utilities",Energy,www.schneider-electric.com,https://www.glassdoor.com/Overview/Working-at-Schneider Electric-EI_IE3956.htm
7224,Juniper Networks,3.8,1709,3.9,3.9,3.4,4.1,3.6,Information Technology,Enterprise Software & Network Solutions,www.juniper.net,https://www.glassdoor.com/Overview/Working-at-Juniper Networks-EI_IE7224.htm
3472,Ericsson-Worldwide,3.6,5874,3.8,3.8,3.0,3.5,3.3,Telecommunications,Telecommunications Manufacturing,www.ericsson.com,https://www.glassdoor.com/Overview/Working-at-Ericsson-Worldwide-EI_IE3472.htm
314037,Altisource,2.9,803,2.9,2.9,2.7,3.5,2.9,Finance,Investment Banking & Asset Management,www.altisource.com,https://www.glassdoor.com/Overview/Working-at-Altisource-EI_IE314037.htm
7649,NTT DATA,3.1,1684,3.3,3.0,2.6,2.8,2.8,Information Technology,IT Services,www.nttdata.com/joinus,https://www.glassdoor.com/Overview/Working-at-NTT DATA-EI_IE7649.htm
220768,Sasken,3.0,492,3.2,3.2,2.5,2.5,2.8,Telecommunications,"Cable, Internet & Telephone Providers",www.sasken.com,https://www.glassdoor.com/Overview/Working-at-Sasken-EI_IE220768.htm
5432,Citrix,3.6,2003,3.9,3.8,3.1,3.7,3.3,Information Technology,Computer Hardware & Software,jobs.citrix.com,https://www.glassdoor.com/Overview/Working-at-Citrix-EI_IE5432.htm
277,GE,3.7,6431,3.5,3.8,3.3,3.6,3.7,Information Technology,Enterprise Software & Network Solutions,www.ge.com,https://www.glassdoor.com/Overview/Working-at-GE-EI_IE277.htm
1710,Northern Trust,3.6,1321,3.8,3.9,3.3,3.1,3.4,Finance,Banks & Credit Unions,www.northerntrust.com,https://www.glassdoor.com/Overview/Working-at-Northern Trust-EI_IE1710.htm
9219,Akamai,4.0,886,4.0,4.1,3.6,4.1,3.6,Information Technology,IT Services,www.akamai.com,https://www.glassdoor.com/Overview/Working-at-Akamai-EI_IE9219.htm
